player,club,cost,pos,sel%,form,pts
Rodney,Crystal Palace,4.5,MID,0.00%,0,0
Umeh,Crystal Palace,4.5,MID,0.00%,0,0
Marsh,Crystal Palace,4.5,FWD,0.30%,0,0
Tyrer,Everton,4,GKP,0.10%,0,0
Dixon,Everton,4,DEF,0.20%,0,0
Welch,Everton,4,DEF,0.20%,0,0
Aznou,Everton,4.5,DEF,0.10%,0,0
Bates,Everton,4.5,MID,0.10%,0,0
Ebere,Everton,4.5,MID,0.00%,0,0
Heath,Everton,4.5,MID,0.00%,0,0
Metcalfe,Everton,4.5,MID,0.00%,0,0
Barry,Everton,6,FWD,0.80%,0,0
Sherif,Everton,4.5,FWD,0.20%,0,0
Benda,Fulham,4,GKP,0.00%,0,0
Lecomte,Fulham,4,GKP,0.90%,0,0
Amissah,Fulham,4,DEF,0.20%,0,0
Harris,Fulham,4.5,MID,0.00%,0,0
Meslier,Leeds,4.5,GKP,0.90%,0,0
Cairns,Leeds,4,GKP,0.20%,0,0
Darlow,Leeds,4,GKP,4.30%,0,0
Perri,Leeds,4.5,GKP,0.30%,0,0
Bogle,Leeds,4.5,DEF,0.40%,0,0
Struijk,Leeds,4.5,DEF,0.40%,0,0
Bijol,Leeds,4,DEF,0.20%,0,0
Bornauw,Leeds,4,DEF,0.10%,0,0
Byram,Leeds,4,DEF,0.30%,0,0
Gudmundsson,Leeds,4,DEF,2.70%,0,0
Rodon,Leeds,4,DEF,1.80%,0,0
Schmidt,Leeds,4,DEF,0.20%,0,0
Aaronson,Leeds,5.5,MID,0.10%,0,0
Gnonto,Leeds,5.5,MID,0.40%,0,0
James,Leeds,5.5,MID,0.60%,0,0
Ampadu,Leeds,5,MID,0.10%,0,0
Greenwood,Leeds,5,MID,0.10%,0,0
Gruev,Leeds,5,MID,0.10%,0,0
Ramazani,Leeds,5,MID,0.30%,0,0
Tanaka,Leeds,5,MID,0.30%,0,0
Crew,Leeds,4.5,MID,0.00%,0,0
Gelhardt,Leeds,4.5,MID,0.10%,0,0
Gyabi,Leeds,4.5,MID,0.10%,0,0
Stach,Leeds,5,MID,0.30%,0,0
Piroe,Leeds,5.5,FWD,2.40%,0,0
Bamford,Leeds,5,FWD,2.40%,0,0
Mateo Joseph,Leeds,5,FWD,0.10%,0,0
Nmecha,Leeds,5,FWD,0.50%,0,0
Mamardashvili,Liverpool,4.5,GKP,0.50%,0,0
Pécsi,Liverpool,4,GKP,0.10%,0,0
Woodman,Liverpool,4,GKP,0.10%,0,0
Frimpong,Liverpool,6,DEF,30.40%,0,0
Nallo,Liverpool,4,DEF,0.10%,0,0
R.Williams,Liverpool,4,DEF,0.20%,0,0
Ramsay,Liverpool,4,DEF,0.20%,0,0
Wirtz,Liverpool,8.5,MID,34.90%,0,0
Doak,Liverpool,5,MID,0.00%,0,0
Bajcetic,Liverpool,4.5,MID,0.10%,0,0
McConnell,Liverpool,4.5,MID,0.00%,0,0
Morton,Liverpool,4.5,MID,0.00%,0,0
Nyoni,Liverpool,4.5,MID,0.10%,0,0
Ekitiké,Liverpool,8.5,FWD,13.00%,0,0
Trafford,Man City,5,GKP,2.10%,0,0
Bettinelli,Man City,4,GKP,0.20%,0,0
Cherki,Man City,6.5,MID,7.70%,0,0
Reijnders,Man City,5.5,MID,14.30%,0,0
Nypan,Man City,5,MID,0.00%,0,0
Harrison,Man Utd,4,GKP,0.00%,0,0
Heaton,Man Utd,4,GKP,0.40%,0,0
Mee,Man Utd,4,GKP,0.10%,0,0
D.Leon,Man Utd,4.5,DEF,0.10%,0,0
Fitzgerald,Man Utd,4.5,MID,0.00%,0,0
J.Fletcher,Man Utd,4.5,MID,0.00%,0,0
Kone,Man Utd,4.5,MID,0.10%,0,0
Moorhouse,Man Utd,4.5,MID,0.00%,0,0
Wheatley,Man Utd,4.5,FWD,0.20%,0,0
Šeško,Man Utd,7.5,FWD,6.60%,0,0
Gillespie,Newcastle,4,GKP,0.10%,0,0
Odysseas,Newcastle,4,GKP,0.10%,0,0
Ramsdale,Newcastle,5,GKP,0.80%,0,0
Lascelles,Newcastle,4.5,DEF,0.10%,0,0
A.Murphy,Newcastle,4,DEF,0.80%,0,0
Ashby,Newcastle,4,DEF,0.20%,0,0
Pivas,Newcastle,4,DEF,0.20%,0,0
Thiaw,Newcastle,5,DEF,0.10%,0,0
Antoñito C.,Newcastle,5,MID,0.00%,0,0
Hayden,Newcastle,4.5,MID,0.00%,0,0
Kuol,Newcastle,4.5,MID,0.10%,0,0
White,Newcastle,4.5,MID,0.00%,0,0
Neave,Newcastle,4.5,FWD,0.20%,0,0
C.Miguel,Nott'm Forest,4,GKP,0.20%,0,0
Turner,Nott'm Forest,4,GKP,0.50%,0,0
Gunn,Nott'm Forest,4,GKP,1.30%,0,0
David Carmo,Nott'm Forest,4.5,DEF,0.10%,0,0
Jair Cunha,Nott'm Forest,4.5,DEF,0.10%,0,0
O.Richards,Nott'm Forest,4.5,DEF,0.10%,0,0
Abbott,Nott'm Forest,4,DEF,0.20%,0,0
O'Brien,Nott'm Forest,5,MID,0.00%,0,0
Stamenic,Nott'm Forest,4.5,MID,0.10%,0,0
Ndoye,Nott'm Forest,6,MID,0.30%,0,0
Igor Jesus,Nott'm Forest,6,FWD,0.90%,0,0
Patterson,Sunderland,4.5,GKP,0.40%,0,0
Moore,Sunderland,4,GKP,0.50%,0,0
Nna Noukeu,Sunderland,4,GKP,0.20%,0,0
Roefs,Sunderland,4.5,GKP,0.20%,0,0
Ballard,Sunderland,4.5,DEF,0.20%,0,0
Hume,Sunderland,4.5,DEF,0.20%,0,0
Alese,Sunderland,4,DEF,0.00%,0,0
Anderson,Sunderland,4,DEF,0.50%,0,0
Cirkin,Sunderland,4,DEF,0.10%,0,0
Hjelde,Sunderland,4,DEF,0.00%,0,0
Huggins,Sunderland,4,DEF,0.20%,0,0
Johnson,Sunderland,4,DEF,0.30%,0,0
O'Nien,Sunderland,4,DEF,0.00%,0,0
Pembele,Sunderland,4,DEF,0.20%,0,0
Reinildo,Sunderland,4,DEF,7.30%,0,0
Seelt,Sunderland,4,DEF,0.40%,0,0
Masuaku,Sunderland,4,DEF,0.20%,0,0
Alderete,Sunderland,4,DEF,0.30%,0,0
Diarra,Sunderland,5.5,MID,0.10%,0,0
Roberts,Sunderland,5.5,MID,0.10%,0,0
Aleksić,Sunderland,5,MID,0.00%,0,0
E.Le Fée,Sunderland,5,MID,0.50%,0,0
Mundle,Sunderland,5,MID,0.00%,0,0
Neil,Sunderland,5,MID,0.10%,0,0
Poveda,Sunderland,5,MID,0.00%,0,0
Rigg,Sunderland,5,MID,0.10%,0,0
Sadiki,Sunderland,5,MID,0.00%,0,0
Talbi,Sunderland,5,MID,0.20%,0,0
Ba,Sunderland,4.5,MID,0.30%,0,0
Browne,Sunderland,4.5,MID,0.10%,0,0
Ekwah,Sunderland,4.5,MID,0.10%,0,0
H.Jones,Sunderland,4.5,MID,0.10%,0,0
Matete,Sunderland,4.5,MID,0.30%,0,0
Triantis,Sunderland,4.5,MID,0.10%,0,0
Xhaka,Sunderland,5,MID,2.70%,0,0
Isidor,Sunderland,5.5,FWD,0.30%,0,0
Mayenda,Sunderland,5.5,FWD,0.30%,0,0
Abdullahi,Sunderland,4.5,FWD,0.70%,0,0
Luís Hemir,Sunderland,4.5,FWD,0.20%,0,0
Rusyn,Sunderland,4.5,FWD,0.20%,0,0
Phillips,Spurs,4,DEF,0.10%,0,0
Takai,Spurs,4,DEF,0.20%,0,0
Vuskovic,Spurs,4,DEF,1.40%,0,0
Solomon,Spurs,5.5,MID,0.00%,0,0
Bryan,Spurs,5,MID,0.10%,0,0
Min-hyeok,Spurs,4.5,MID,0.10%,0,0
Olusesi,Spurs,4.5,MID,0.20%,0,0
J.Palhinha,Spurs,5.5,MID,0.40%,0,0
Foderingham,West Ham,4,GKP,0.70%,0,0
Hegyi,West Ham,4,GKP,0.30%,0,0
Hermansen,West Ham,4.5,GKP,0.30%,0,0
Diouf,West Ham,4.5,DEF,6.70%,0,0
N.Aguerd,West Ham,4.5,DEF,0.10%,0,0
Walker-Peters,West Ham,4.5,DEF,0.50%,0,0
Earthy,West Ham,4.5,MID,0.20%,0,0
Potts,West Ham,4.5,MID,0.80%,0,0
Marshall,West Ham,4.5,FWD,0.70%,0,0
Wilson,West Ham,6,FWD,0.50%,0,0
H.Bueno,Wolves,4.5,DEF,0.10%,0,0
Hoever,Wolves,4,DEF,2.50%,0,0
Meupiyou,Wolves,4,DEF,0.00%,0,0
Møller Wolfe,Wolves,4.5,DEF,0.00%,0,0
