player,club,cost,pos,sel%,form,pts
Rashford,Man Utd,7,MID,0.10%,0,95
Zabarnyi,Bournemouth,5,DEF,0.20%,0,94
Lewis-Potter,Brentford,5,DEF,0.50%,0,94
Chalobah,Chelsea,5,DEF,1.00%,0,93
McNeil,Everton,6,MID,0.50%,0,93
José Sá,Wolves,4.5,GKP,2.30%,0,93
Merino,Arsenal,6,MID,0.70%,0,92
Gravenberch,Liverpool,5.5,MID,0.10%,0,92
Robertson,Liverpool,6,DEF,1.60%,0,91
Rúben,Man City,5.5,DEF,2.70%,0,90
Bellegarde,Wolves,5.5,MID,0.10%,0,90
Digne,Aston Villa,4.5,DEF,1.80%,0,89
Hinshelwood,Brighton,5.5,MID,0.10%,0,89
Gana,Everton,5.5,MID,0.10%,0,89
Branthwaite,Everton,5.5,DEF,1.80%,0,88
Doku,Man City,6.5,MID,1.10%,0,88
Mazraoui,Man Utd,5,DEF,0.50%,0,88
Tavernier,Bournemouth,5.5,MID,0.40%,0,87
Van Hecke,Brighton,4.5,DEF,1.20%,0,87
Baleba,Brighton,5,MID,5.10%,0,87
Beto,Everton,5.5,FWD,10.50%,0,87
C.Jones,Liverpool,5.5,MID,0.10%,0,87
Gomes,Wolves,5.5,MID,0.10%,0,87
Muniz,Fulham,5.5,FWD,2.10%,0,86
Sancho,Man Utd,6,MID,0.10%,0,86
Cook,Bournemouth,5,MID,0.00%,0,82
Kilman,West Ham,4.5,DEF,0.30%,0,82
Andreas,Fulham,5.5,MID,0.40%,0,81
Harrison,Leeds,5.5,MID,0.20%,0,81
Matheus N.,Man City,5.5,DEF,0.50%,0,81
L.Paquetá,West Ham,6,MID,1.20%,0,80
Toti,Wolves,4.5,DEF,0.20%,0,79
McGinn,Aston Villa,5.5,MID,0.70%,0,78
Wilson,Fulham,5.5,MID,1.20%,0,78
Højlund,Man Utd,6.5,FWD,0.70%,0,78
Cash,Aston Villa,4.5,DEF,1.80%,0,76
Christie,Bournemouth,5,MID,0.20%,0,76
Emerson,West Ham,4.5,DEF,0.20%,0,76
Buonanotte,Brighton,5,MID,0.20%,0,75
Bassey,Fulham,4.5,DEF,0.50%,0,75
Doherty,Wolves,4.5,DEF,0.20%,0,75
Ayari,Brighton,5,MID,0.20%,0,74
Janelt,Brentford,5,MID,0.00%,0,73
Marmoush,Man City,8.5,MID,12.40%,0,73
Trippier,Newcastle,5,DEF,1.80%,0,72
Tosin,Chelsea,4.5,DEF,0.90%,0,71
P.M.Sarr,Spurs,5,MID,2.60%,0,71
Areola,West Ham,4.5,GKP,5.20%,0,69
Richards,Crystal Palace,4.5,DEF,1.50%,0,68
